horizon,MAE,RMSE,sMAPE,DA,rounds_used,params,sweep,value
1,0.643988,0.859251,23.651984,0.510057,70,21378,lr,0.001
3,0.667043,0.888434,25.945822,0.512762,70,21378,lr,0.001
7,0.705724,0.93854,29.435229,0.50595,70,21378,lr,0.001
1,0.531845,0.721256,21.411506,0.50778,50,21378,lr,0.002
3,0.558205,0.756131,24.106033,0.508952,50,21378,lr,0.002
7,0.601281,0.813588,27.541132,0.494818,50,21378,lr,0.002
