horizon,MAE,RMSE,sMAPE,DA,run
1,0.28247428461909296,0.40505286753177644,12.089688587188721,0.5074003756046295,ACG-UCB1(price)
3,0.3193774834275246,0.4564819365739822,15.340396404266357,0.5062857091426849,ACG-UCB1(price)
7,0.3771047815680504,0.5335818707942963,19.93632526397705,0.4921305239200592,ACG-UCB1(price)
1,0.41536675691604613,0.5752006739377975,24.478145408630372,0.5104364275932312,ACG-UCB1(aug)
3,0.4365267246961594,0.601131922006607,25.409501457214354,0.5154285728931427,ACG-UCB1(aug)
7,0.47673394083976744,0.6567280232906342,27.57452850341797,0.5051823496818543,ACG-UCB1(aug)
1,0.4855970352888107,0.6488766551017762,24.27866325378418,0.505502849817276,UNIFORM(aug)
3,0.5017792373895645,0.6734536856412887,25.2404842376709,0.5112380981445312,UNIFORM(aug)
7,0.5352415591478348,0.7233032166957856,27.81225929260254,0.5017274498939515,UNIFORM(aug)
1,0.3812428697943687,0.5293873488903046,18.674604988098146,0.5115749418735505,SUPERVISED(aug)
3,0.40565241426229476,0.5627146244049073,20.331160736083984,0.5150476098060608,SUPERVISED(aug)
7,0.4489518940448761,0.6250621616840363,23.717731857299803,0.5047984659671784,SUPERVISED(aug)
