horizon,regime,MAE,RMSE,sMAPE,DA
1,high,0.5168171674013138,0.6736839637160301,11.474381685256958,0.5104295611381531
3,high,0.5500336661934853,0.7119430229067802,13.225526809692383,0.48050783574581146
7,high,0.606898233294487,0.7685496956110001,16.354175090789795,0.4869272857904434
