round,arm,asset,horizon,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
1,0,BTC,1,-0.027057483792304993,0.12714357674121857,0.15420106053352356,-0.027057483792304993,1
2,1,BTC,3,-0.03402775526046753,0.15247641503810883,0.18650417029857635,-0.03402775526046753,1
3,2,BTC,7,-0.023816436529159546,0.17980429530143738,0.20362073183059692,-0.023816436529159546,1
4,3,DOGE,1,-0.011842404492199421,0.01330342423170805,0.02514582872390747,-0.011842404492199421,1
5,4,DOGE,3,-0.0423774104565382,0.02716916985809803,0.06954658031463623,-0.0423774104565382,1
6,5,DOGE,7,-0.05106941610574722,0.07445884495973587,0.1255282610654831,-0.05106941610574722,1
7,6,ETH,1,0.004194219596683979,0.017561720684170723,0.013367501087486744,0.004194219596683979,1
8,7,ETH,3,-0.01271013729274273,0.016709156334400177,0.029419293627142906,-0.01271013729274273,1
9,8,ETH,7,-0.007507633417844772,0.0372312068939209,0.04473884031176567,-0.007507633417844772,1
10,9,LTC,1,0.0032118260860443115,0.19308051466941833,0.18986868858337402,0.0032118260860443115,1
11,10,LTC,3,0.018404290080070496,0.19229117035865784,0.17388688027858734,0.018404290080070496,1
12,11,LTC,7,0.03130964934825897,0.1781231164932251,0.14681346714496613,0.03130964934825897,1
13,12,XRP,1,0.03119634836912155,0.10574598610401154,0.07454963773488998,0.03119634836912155,1
14,13,XRP,3,0.024655945599079132,0.08839907497167587,0.06374312937259674,0.024655945599079132,1
15,14,XRP,7,0.02039969712495804,0.09109918773174286,0.07069949060678482,0.02039969712495804,1
16,11,LTC,7,0.016719818115234375,0.05322911962866783,0.036509301513433456,0.024014733731746674,2
17,12,XRP,1,0.006628112867474556,0.023046551272273064,0.016418438404798508,0.018912230618298054,2
18,13,XRP,3,0.0038333628326654434,0.026185013353824615,0.022351650521159172,0.014244654215872288,2
19,14,XRP,7,0.002304334193468094,0.041416581720113754,0.03911224752664566,0.011352015659213066,2
20,10,LTC,3,-0.0017658192664384842,0.012078800238668919,0.013844619505107403,0.008319235406816006,2
21,6,ETH,1,-0.0028007198125123978,0.009426894597709179,0.012227614410221577,0.0006967498920857906,2
22,9,LTC,1,-0.004399118013679981,0.013776394538581371,0.018175512552261353,-0.0005936459638178349,2
23,8,ETH,7,-0.0022978316992521286,0.017029225826263428,0.019327057525515556,-0.0049027325585484505,2
24,3,DOGE,1,-0.005997346714138985,0.020511792972683907,0.02650913968682289,-0.008919875603169203,2
25,7,ETH,3,-0.002094469964504242,0.02122672274708748,0.02332119271159172,-0.0074023036286234856,2
26,2,BTC,7,-0.0015001874417066574,0.02278158627450466,0.02428177371621132,-0.012658311985433102,2
27,0,BTC,1,-0.0022819936275482178,0.01568080671131611,0.017962800338864326,-0.014669738709926605,2
28,1,BTC,3,-0.0015597008168697357,0.020703477784991264,0.022263178601861,-0.017793728038668633,2
29,4,DOGE,3,0.0008260346949100494,0.03648149222135544,0.03565545752644539,-0.020775687880814075,2
30,5,DOGE,7,0.0015849769115447998,0.03601466864347458,0.03442969173192978,-0.02474221959710121,2
31,11,LTC,7,0.004829090088605881,0.043376434594392776,0.038547344505786896,0.017619519184033077,3
32,12,XRP,1,0.008413786068558693,0.03634015843272209,0.0279263723641634,0.015412749101718267,3
33,13,XRP,3,0.006101790815591812,0.034029632806777954,0.027927841991186142,0.011530366415778795,3
34,14,XRP,7,0.005427882075309753,0.041955288499593735,0.03652740642428398,0.009377304464578629,3
35,10,LTC,3,0.003487134352326393,0.01599583774805069,0.012508703395724297,0.0067085350553194685,3
36,6,ETH,1,-0.00046011898666620255,0.0033824709244072437,0.0038425899110734463,0.0003111269325017929,3
37,9,LTC,1,0.0004013916477560997,0.006962227169424295,0.006560835521668196,-0.0002619667599598567,3
38,8,ETH,7,0.0006375918164849281,0.010441599413752556,0.009804007597267628,-0.003055957766870658,3
39,7,ETH,3,0.0005381428636610508,0.0060078976675868034,0.005469754803925753,-0.004755488131195307,3
40,3,DOGE,1,-0.004240688867866993,0.0059790946543216705,0.010219783522188663,-0.007360146691401799,3
41,2,BTC,7,0.004364566877484322,0.02200719527900219,0.017642628401517868,-0.006984019031127294,3
42,0,BTC,1,-0.007539800368249416,0.005242384038865566,0.012782184407114983,-0.012293092596034208,3
43,1,BTC,3,-0.009199416264891624,0.015725430101156235,0.02492484636604786,-0.01492895744740963,3
44,4,DOGE,3,-0.0017957035452127457,0.02987324260175228,0.03166894614696503,-0.014449026435613632,3
45,5,DOGE,7,0.0005539096891880035,0.032139457762241364,0.03158554807305336,-0.01631017650167147,3
46,11,LTC,7,0.005212854593992233,0.039903879165649414,0.03469102457165718,0.014517853036522865,4
47,12,XRP,1,0.009126726537942886,0.028181709349155426,0.01905498281121254,0.013841243460774422,4
48,13,XRP,3,0.006921056658029556,0.024738766252994537,0.01781770959496498,0.010378038976341486,4
49,14,XRP,7,0.0031739119440317154,0.031134601682424545,0.02796068973839283,0.0078264563344419,4
