asset,horizon,mapping,thr_abs,fee_bps,sharpe,sortino,mdd,calmar,mean_ret,std_ret,turnover
BTC,1,long_only,0.0002111196517944336,0,0.3764906763229689,0.34515426244747416,0.20721089000349846,0.4530039405996866,0.00025717082111563293,0.013050101761611872,0.17077798861480076
BTC,1,long_only,0.0002111196517944336,5,0.25135795972203645,0.2321005764502862,0.22491630588439393,0.2787719927116081,0.00017178182680823245,0.013056627275393017,0.17077798861480076
BTC,1,long_only,0.0002111196517944336,10,0.12632403617964352,0.11795144208477343,0.24223490174952556,0.1301768805193873,8.639283250083202e-05,0.013065864559042769,0.17077798861480076
BTC,1,long_only,0.0002111196517944336,25,-0.24741302061012552,-0.2370714175102964,0.2919515410783715,-0.21225291250287634,-0.00016977415042136916,0.013109781293179424,0.17077798861480076
BTC,1,long_only,0.02240884304046631,0,0.47654168951830006,0.3826805533606931,0.18935099547291812,0.5775351376860922,0.00029960781710144637,0.012011539460305925,0.13282732447817835
BTC,1,long_only,0.02240884304046631,5,0.37062370191183514,0.2996145300663994,0.19832651179419825,0.4291703905560301,0.0002331941548623571,0.012020731674075972,0.13282732447817835
BTC,1,long_only,0.02240884304046631,10,0.26481494785246695,0.216137817418212,0.21230066673517478,0.2867389949516351,0.00016678049262326791,0.012032314879426352,0.13282732447817835
BTC,1,long_only,0.02240884304046631,25,-0.051331818103044914,-0.042916085490617,0.25281818534615375,-0.046864035227690955,-3.246049409399976e-05,0.012081334575019698,0.13282732447817835
BTC,1,long_only,0.036165595054626465,0,0.9789328784410695,0.8798257068159622,0.1293208546980772,1.5541194279535175,0.0005506302814449036,0.010746167573684347,0.12903225806451613
BTC,1,long_only,0.036165595054626465,5,0.8634240016028089,0.7847895592399791,0.13358324692162682,1.3282478882504358,0.0004861141524126455,0.0107562423832388,0.12903225806451613
BTC,1,long_only,0.036165595054626465,10,0.7479503446426069,0.6875195812630414,0.13792900135716968,1.115670214520311,0.00042159802338038744,0.010768922006745459,0.12903225806451613
BTC,1,long_only,0.036165595054626465,25,0.4025767328030698,0.3804462260203795,0.1685860141666724,0.4937427203227654,0.00022804963628361328,0.010822488803373968,0.12903225806451613
BTC,1,long_only,0.0473480224609375,0,1.1446655882783336,0.9870642081300132,0.11354036725525807,1.9129755747594979,0.0005950683542751911,0.009931953105536876,0.11764705882352941
BTC,1,long_only,0.0473480224609375,5,1.0310102220490613,0.8979879801382314,0.11800100416819348,1.6587092834778574,0.0005362448248634263,0.009936800599911644,0.11764705882352941
BTC,1,long_only,0.0473480224609375,10,0.9172246466618132,0.803414441684999,0.12244143030228871,1.4232010554615027,0.0004774212954516617,0.009944260737909784,0.11764705882352941
BTC,1,long_only,0.0473480224609375,25,0.575988002253868,0.5143995960651409,0.14856786937274635,0.7393725749518312,0.0003009507072163675,0.009982248180784543,0.11764705882352941
BTC,1,long_short,0.0002111196517944336,0,-1.01260625011541,-1.476199042862815,0.6393483127602642,-0.7332800833050873,-0.001284442148061772,0.02423373624166636,0.34345351043643263
BTC,1,long_short,0.0002111196517944336,5,-1.1478213133970372,-1.6695177082717065,0.6638294588071063,-0.8006599325246839,-0.0014561689032799887,0.024237281107182814,0.34345351043643263
BTC,1,long_short,0.0002111196517944336,10,-1.2826868596228718,-1.8610225694612286,0.6866709693948283,-0.8653080468432204,-0.0016278956584982053,0.024246683944688045,0.34345351043643263
BTC,1,long_short,0.0002111196517944336,25,-1.684224201123959,-2.4307485690311172,0.7464061358981238,-1.0479853724320245,-0.0021430759241528536,0.024309951141267994,0.34345351043643263
BTC,1,long_short,0.02240884304046631,0,-1.0473861081373181,-1.4506650735340687,0.628967697321573,-0.7202753466811882,-0.0012411778801103696,0.02263985546406375,0.3055028462998102
BTC,1,long_short,0.02240884304046631,5,-1.1762926959508018,-1.6332523406997324,0.648406096821201,-0.7846690495100538,-0.0013939293032602749,0.022639757975623977,0.3055028462998102
BTC,1,long_short,0.02240884304046631,10,-1.3049658847902001,-1.8164621949863538,0.6696637745343768,-0.8430177748996522,-0.0015466807264101802,0.02264372895165344,0.3055028462998102
BTC,1,long_short,0.02240884304046631,25,-1.6888974842697286,-2.366664079184539,0.7261097847162592,-1.0078383309127543,-0.0020049349958598953,0.022680020349180076,0.3055028462998102
BTC,1,long_short,0.036165595054626465,0,-0.9386202088654253,-1.2734620101941823,0.608156159914442,-0.6405195398457014,-0.0010672216539818296,0.021722567740493578,0.2903225806451613
BTC,1,long_short,0.036165595054626465,5,-1.0660390164769311,-1.4531415323910264,0.629976820578489,-0.7024381853669703,-0.0012123829443044102,0.021727669690449994,0.2903225806451613
BTC,1,long_short,0.036165595054626465,10,-1.1932100702206594,-1.6335574276373923,0.6505955960254092,-0.7616154315602501,-0.001357544234626991,0.02173619451586961,0.2903225806451613
BTC,1,long_short,0.036165595054626465,25,-1.5726447586059473,-2.1761585667208694,0.7058778805876303,-0.9271508238738526,-0.001793028105594733,0.02178225798900804,0.2903225806451613
BTC,1,long_short,0.0473480224609375,0,-0.9351918063531249,-1.2294947250815813,0.5973382334866957,-0.6242249408968348,-0.0010215710232719904,0.02086960863213214,0.27514231499051234
BTC,1,long_short,0.0473480224609375,5,-1.0609470513763766,-1.4012979344114318,0.6193666157641616,-0.6830960617038847,-0.0011591421807672468,0.020873219110462617,0.27514231499051234
BTC,1,long_short,0.0473480224609375,10,-1.186481455061922,-1.574460415550957,0.6402022693890994,-0.7392981735549172,-0.001296713338262503,0.020879950070603972,0.27514231499051234
