round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
186,3,ETH,1,high,-0.0004566675052046776,0.002047040732577443,0.0025037082377821207,0.012320806155912578,32
187,5,ETH,7,high,-0.00048618949949741364,0.00811862014234066,0.008604809641838074,0.009814309712965047,32
188,4,ETH,3,high,-2.0573381334543228e-05,0.0055109248496592045,0.005531498230993748,-0.002731375276081022,31
189,2,BTC,7,high,-5.663558840751648e-05,0.017248695716261864,0.01730533130466938,0.007814236858393997,32
190,0,BTC,1,high,2.360064536333084e-05,0.003558980766683817,0.003535380121320486,0.0032920774465310387,32
191,1,BTC,3,high,-0.00013225432485342026,0.008881151676177979,0.009013406001031399,0.002000996435526758,32
192,3,ETH,1,high,0.000253274105489254,0.002521688584238291,0.002268414478749037,0.01195512336650581,33
193,5,ETH,7,high,9.408034384250641e-05,0.00791261252015829,0.007818532176315784,0.009519757307840122,33
194,4,ETH,3,high,-4.6455301344394684e-05,0.004626039881259203,0.004672495182603598,-0.0026474715268705023,32
195,2,BTC,7,high,0.0005945097655057907,0.018524665385484695,0.017930155619978905,0.007595457249518597,33
196,0,BTC,1,high,7.242313586175442e-05,0.0035566252190619707,0.0034842020832002163,0.0031945121643895454,33
197,1,BTC,3,high,-0.00015366636216640472,0.008861436508595943,0.009015102870762348,0.00193570362347545,33
198,3,ETH,1,high,0.00010647228918969631,0.003499341197311878,0.003392868908122182,0.011606633628937688,34
199,5,ETH,7,high,0.0006145099177956581,0.008977094665169716,0.008362584747374058,0.009257838266956461,34
200,4,ETH,3,high,0.00037921685725450516,0.005232274066656828,0.004853057209402323,-0.002555753697048532,33
201,2,BTC,7,high,-0.0006217360496520996,0.01793578267097473,0.01855751872062683,0.007353775093660635,34
202,0,BTC,1,high,-0.00027322256937623024,0.003811475820839405,0.004084698390215635,0.003092519966337611,34
203,1,BTC,3,high,-0.0006113303825259209,0.009870790876448154,0.010482121258974075,0.0018607908585930569,34
204,3,ETH,1,high,-5.613081157207489e-06,0.0020110022742301226,0.00201661535538733,0.011274855151506405,35
205,5,ETH,7,high,-3.185868263244629e-05,0.00777710834518075,0.007808967027813196,0.008992418354111064,35
206,4,ETH,3,high,1.8756836652755737e-06,0.004496234934777021,0.004494359251111746,-0.002480529303498126,34
207,2,BTC,7,high,7.022544741630554e-05,0.02105504274368286,0.020984817296266556,0.007145673675196511,35
208,0,BTC,1,high,0.0006319372914731503,0.00533222546800971,0.00470028817653656,0.0030222176041986262,35
209,1,BTC,3,high,0.0005135256797075272,0.010630502365529537,0.01011697668582201,0.001822297567767756,35
210,3,ETH,1,high,-6.403285078704357e-05,0.0020131131168454885,0.002077145967632532,0.010959886040331587,36
211,5,ETH,7,high,-0.00024367403239011765,0.007827592082321644,0.008071266114711761,0.008735860232263809,36
212,4,ETH,3,high,-0.000425760168582201,0.0048534078523516655,0.0052791680209338665,-0.0024218216139290996,35
213,2,BTC,7,high,8.830055594444275e-05,0.017283465713262558,0.017195165157318115,0.006949635532995064,36
214,0,BTC,1,high,2.4365028366446495e-05,0.003847008105367422,0.0038226430770009756,0.002938943921536621,36
215,1,BTC,3,high,-2.0926818251609802e-06,0.008966886438429356,0.008968979120254517,0.0017716200608346195,36
216,3,ETH,1,high,0.0006248371209949255,0.0028557623736560345,0.002230925252661109,0.01068056039386303,37
217,5,ETH,7,high,0.00014539528638124466,0.008029645308852196,0.007884250022470951,0.008503685503996713,37
218,2,BTC,7,high,-0.004018910229206085,0.020531510934233665,0.02455042116343975,0.0066531883502328705,37
219,4,ETH,3,high,-0.0006329743191599846,0.00502032320946455,0.005653297528624535,-0.0023721314112966243,36
220,0,BTC,1,high,-0.0015254877507686615,0.01065003126859665,0.01217551901936531,0.0028182836060689108,37
221,1,BTC,3,high,-0.0004908964037895203,0.018848560750484467,0.019339457154273987,0.0017104709671961291,37
222,3,ETH,1,high,0.0008417714852839708,0.003731334814801812,0.0028895633295178413,0.010421644896268843,38
223,5,ETH,7,high,0.0008416511118412018,0.00883525051176548,0.007993599399924278,0.00830205301999262,38
224,2,BTC,7,high,0.0028593670576810837,0.021486228331923485,0.0186268612742424,0.006553350947797297,38
225,4,ETH,3,high,-0.0003243694081902504,0.0045539094135165215,0.004878278821706772,-0.0023167864922937495,37
226,0,BTC,1,high,-0.00028988486155867577,0.0034781007561832666,0.0037679856177419424,0.0027364896990260796,38
227,3,ETH,1,high,0.00019811652600765228,0.002844857983291149,0.002646741457283497,0.010159503143185223,39
228,1,BTC,3,high,-1.1353753507137299e-05,0.008822634816169739,0.008833988569676876,0.001665159790335517,38
229,5,ETH,7,high,0.0002857521176338196,0.008180725388228893,0.007894973270595074,0.008096506843009062,39
230,2,BTC,7,high,-0.0016431082040071487,0.0183874499052763,0.020030558109283447,0.00634318532852026,39
231,4,ETH,3,high,-0.00024000508710741997,0.004472057335078716,0.004712062422186136,-0.002262134350052004,38
232,0,BTC,1,high,-0.0022495966404676437,0.006724212318658829,0.008973808959126472,0.0026086413313467535,39
233,3,ETH,1,high,2.0475126802921295e-05,0.002698148600757122,0.0026776734739542007,0.009906027442775665,40
234,1,BTC,3,high,0.0009839870035648346,0.015249720774590969,0.014265733771026134,0.001647693821443961,39
235,5,ETH,7,high,4.981085658073425e-05,0.00842018611729145,0.008370375260710716,0.007895339443348354,40
236,2,BTC,7,high,0.0018179062753915787,0.023981813341379166,0.022163907065987587,0.006230053352192043,40
237,4,ETH,3,high,0.00015514157712459564,0.004660443402826786,0.00450530182570219,-0.002200152916021835,39
238,0,BTC,1,high,0.0009606252424418926,0.004780434537678957,0.0038198092952370644,0.002567440929124132,40
239,3,ETH,1,high,-0.00037137046456336975,0.0019849147647619247,0.0023562852293252945,0.00965535920113325,41
240,1,BTC,3,high,-0.00040344614535570145,0.008827455341815948,0.00923090148717165,0.0015964153222739696,40
