run,features,asset,horizon,MAE,RMSE,sMAPE,DA
UNIFORM,aug,BTC,1,0.9683135747909546,1.2046312093734741,18.344785690307617,0.48956355452537537
UNIFORM,aug,DOGE,1,0.2434753179550171,0.32226982712745667,16.27460479736328,0.4990512430667877
UNIFORM,aug,ETH,1,0.2942129075527191,0.404226690530777,16.203311920166016,0.5275142192840576
UNIFORM,aug,LTC,1,0.15257515013217926,0.19015300273895264,48.508827209472656,0.51802659034729
UNIFORM,aug,XRP,1,0.7694082260131836,1.1231025457382202,22.061786651611328,0.49335864186286926
UNIFORM,aug,BTC,3,0.9794677495956421,1.2164992094039917,18.597240447998047,0.4590476155281067
UNIFORM,aug,DOGE,3,0.26487186551094055,0.36224058270454407,17.69415283203125,0.5219047665596008
UNIFORM,aug,ETH,3,0.31352856755256653,0.4277123212814331,17.233327865600586,0.5219047665596008
UNIFORM,aug,LTC,3,0.15648259222507477,0.19805748760700226,49.08492660522461,0.5371428728103638
UNIFORM,aug,XRP,3,0.7945454120635986,1.1627588272094727,23.5927734375,0.5161904692649841
UNIFORM,aug,BTC,7,1.0070325136184692,1.2378534078598022,19.24684715270996,0.4529750347137451
UNIFORM,aug,DOGE,7,0.3057297468185425,0.4368552565574646,20.259328842163086,0.5297504663467407
UNIFORM,aug,ETH,7,0.34877440333366394,0.47833797335624695,18.910810470581055,0.5028790831565857
UNIFORM,aug,LTC,7,0.17385397851467133,0.22146254777908325,54.05706787109375,0.5182341933250427
UNIFORM,aug,XRP,7,0.8408171534538269,1.2420068979263306,26.587242126464844,0.5047984719276428
