asset,horizon,MAE_LSTM,RMSE_LSTM,sMAPE_LSTM,DA_LSTM,MAE_SMA,RMSE_SMA,sMAPE_SMA,DA_SMA,MAE_Naive,RMSE_Naive,sMAPE_Naive,DA_Naive,MAE_ACG,RMSE_ACG,sMAPE_ACG,DA_ACG,std_close_train
BTC,1,0.9298041462898254,1.229669213294983,17.00962257385254,0.4933586418628692,0.1414704322814941,0.1862232685089111,2.9169623851776123,0.5256167054176331,0.0970328524708747,0.1331011354923248,1.9712581634521484,0.0,0.7713649868965149,0.9524247646331788,14.231432914733888,0.4895635545253753,14498.102853832155
DOGE,1,0.5707624554634094,0.8527808785438538,36.80337524414063,0.5104364156723022,0.1261072009801864,0.2072968631982803,8.141218185424805,0.5085389018058777,0.0808141604065895,0.1256970316171646,5.352756977081299,0.0,0.1138477697968483,0.1657297760248184,7.822772979736328,0.4990512430667877,0.0906142918248248
ETH,1,0.109358973801136,0.1548632830381393,5.794722080230713,0.5218216180801392,0.1080932468175888,0.1539433896541595,5.718262195587158,0.5407969355583191,0.0709969624876976,0.1032978221774101,3.796141862869263,0.0,0.0925560295581817,0.1244316324591636,5.131897926330566,0.5161290168762207,1106.2092587834147
LTC,1,0.0506736487150192,0.0755962058901786,24.04191017150879,0.5388994216918945,0.0548863634467124,0.0824496671557426,24.840362548828125,0.5464895367622375,0.0376922935247421,0.0586185194551944,18.685436248779297,0.0,0.0653431490063667,0.0862169191241264,24.603614807128903,0.5388994216918945,65.94745253473113
XRP,1,0.6489425301551819,0.943027675151825,16.49248504638672,0.5047438144683838,0.1996909230947494,0.3579562306404114,8.264448165893555,0.53700190782547,0.1356344521045684,0.2614700198173523,5.526278018951416,0.0,0.5621980428695679,0.8397471308708191,16.020280838012695,0.5028463006019592,0.3644188804261037
BTC,3,1.1442492008209229,1.5102208852767944,21.510690689086918,0.4761904776096344,0.1950671970844268,0.2527927160263061,4.02733850479126,0.4990476071834564,0.1655588150024414,0.219390794634819,3.4146149158477783,0.0,0.787868320941925,0.9704733490943908,14.624835968017578,0.4590476155281067,14498.102853832155
DOGE,3,0.207342118024826,0.3323197364807129,13.062257766723633,0.5523809790611267,0.1779698580503463,0.2913796305656433,11.458134651184082,0.508571445941925,0.1478983908891677,0.2431067377328872,9.617280006408691,0.0,0.1690901070833206,0.254844605922699,11.1085205078125,0.4876190423965454,0.0906142918248248
ETH,3,0.1723617762327194,0.2363267093896865,9.084163665771484,0.5142857432365417,0.1534913033246994,0.2137828916311264,8.092440605163574,0.508571445941925,0.1273834258317947,0.1786559224128723,6.7320427894592285,0.0,0.1347386538982391,0.1885368674993515,7.2683491706848145,0.5561904907226562,1106.2092587834147
LTC,3,0.0803354457020759,0.1134847030043602,35.56262969970703,0.5066666603088379,0.0757462084293365,0.1118573993444442,31.0795841217041,0.5123809576034546,0.0651266574859619,0.0972600132226944,29.35322570800781,0.0,0.0842336490750312,0.1161075383424758,29.4188175201416,0.5314285755157471,65.94745253473113
XRP,3,0.7539981007575989,1.1069279909133911,20.87420463562012,0.4990476071834564,0.2873825132846832,0.4948397874832153,11.892800331115724,0.5180952548980713,0.241342693567276,0.417622298002243,9.82104778289795,0.0,0.5908101201057434,0.8872771859169006,18.28110885620117,0.5219047665596008,0.3644188804261037
BTC,7,1.4751403331756592,1.9035532474517824,29.1476993560791,0.4798464477062225,0.2671100497245788,0.3433285653591156,5.458165168762207,0.5124760270118713,0.2487360090017318,0.3221746683120727,5.128264904022217,0.0,0.8169026374816895,1.0028300285339355,15.29210090637207,0.4529750347137451,14498.102853832155
DOGE,7,0.5992782115936279,0.8879414200782776,39.57278060913086,0.5451055765151978,0.2590257525444031,0.4223269522190094,16.122234344482422,0.5163148045539856,0.2327654808759689,0.3777490854263305,14.877080917358398,0.0,0.2452618181705474,0.3748871982097626,15.552677154541016,0.5028790831565857,0.0906142918248248
ETH,7,0.226286694407463,0.3034702837467193,12.084877967834473,0.5623800158500671,0.2232805788516998,0.297475665807724,11.90867805480957,0.5047984719276428,0.204205647110939,0.2751161754131317,10.803223609924316,0.0,0.207861840724945,0.2754462659358978,11.041983604431152,0.5259116888046265,1106.2092587834147
LTC,7,0.1123614907264709,0.1537360250949859,41.17513275146485,0.4529750347137451,0.1069064438343048,0.151067778468132,40.16717147827149,0.4856046140193939,0.0997914001345634,0.1432790905237198,39.84195709228516,0.0,0.116752028465271,0.1555405259132385,38.66490173339844,0.4779270589351654,65.94745253473113
XRP,7,1.2974909543991089,1.859855055809021,36.91801834106445,0.4971209168434143,0.4037280082702636,0.6883198022842407,16.518436431884766,0.5163148045539856,0.3872604966163635,0.6441197991371155,15.844707489013672,0.0,0.6482481360435486,0.9812613725662231,22.07181739807129,0.5028790831565857,0.3644188804261037
