model,asset,horizon,regime,MAE,RMSE,sMAPE,DA
ACG-DRL,BTC,1,high,0.9223055839538574,1.186964750289917,15.771614074707031,0.5080385804176331
ACG-DRL,BTC,3,high,0.9341506958007812,1.1916112899780273,16.09355354309082,0.4789643883705139
ACG-DRL,BTC,7,high,0.9584555625915527,1.1989744901657104,16.76424217224121,0.49180328845977783
ACG-DRL,ETH,1,high,0.11132875084877014,0.16040317714214325,7.177149295806885,0.5128205418586731
ACG-DRL,ETH,3,high,0.16591663658618927,0.23227475583553314,10.357500076293945,0.482051283121109
ACG-DRL,ETH,7,high,0.25534090399742126,0.3381249010562897,15.944108009338379,0.482051283121109
