horizon,MAE,RMSE,CRPS,DA,CSDA
1,0.39285993576049805,0.5624544829130173,0.29197718981073384,0.5001897513866425,0.46232842206954955
3,0.5136187076568604,0.7118833780288696,0.3890055406538148,0.5055238127708435,0.4886628329753876
7,1.0130611598491668,1.2963272273540496,0.8070578567467299,0.5009596884250641,0.49418795108795166
