horizon,CRPS,DA,CSDA_mean,VaR_mean_exc_abs
1,0.2919771898107338,0.5001897513866425,0.4623284220695495,0.028671726716565954
3,0.3890055406538148,0.5055238127708435,0.4886628329753876,0.0296190476231277
7,0.8070578567467299,0.5009596884250641,0.4941879510879516,0.029424184265080852
