model,wall_time_s,energy_kwh,cost_usd,carbon_kg
LSTM,100.04816593698706,0.0008337347161415589,0.0001667469432283118,0.0003334938864566236
KANish,1.1631046480069926,9.692538733391605e-06,1.938507746678321e-06,3.877015493356642e-06
