horizon,MAE,RMSE,sMAPE,DA
1,0.3812428697943687,0.5293873488903046,18.674604988098146,0.5115749418735505
3,0.40565241426229476,0.5627146244049073,20.331160736083984,0.5150476098060608
7,0.4489518940448761,0.6250621616840363,23.717731857299803,0.5047984659671784
