horizon,MAE,RMSE,sMAPE,DA,rounds_used,params,sweep,value
1,0.531845,0.721256,21.411506,0.50778,50,21378,layers,1
3,0.558205,0.756131,24.106033,0.508952,50,21378,layers,1
7,0.601281,0.813588,27.541132,0.494818,50,21378,layers,1
1,0.500074,0.68791,18.661665,0.520683,80,54658,layers,2
3,0.52546,0.72287,20.780293,0.528381,80,54658,layers,2
7,0.567792,0.781127,24.209437,0.509789,80,54658,layers,2
