horizon,model,asset,MAE_price
1,ACG-DRL,BTC,11183.328917870565
1,ACG-DRL,DOGE,0.010316235035977088
1,ACG-DRL,ETH,102.386336853492
1,ACG-DRL,LTC,4.309214217567232
1,ACG-DRL,XRP,0.2048755813602746
1,LSTM,BTC,13480.39614682949
1,LSTM,DOGE,0.051719235702014955
1,LSTM,ETH,120.97390934986953
1,LSTM,LTC,3.3417980433953676
1,LSTM,XRP,0.23648691030003444
1,SMA,BTC,2051.0528779931983
1,SMA,DOGE,0.011427114710830443
1,SMA,ETH,119.57375044157762
1,SMA,LTC,3.619615848206067
1,SMA,XRP,0.07277114262544375
1,Naive,BTC,1406.792275323463
1,Naive,DOGE,0.0073229179146609025
1,Naive,ETH,78.53749724938986
1,Naive,LTC,2.485710738148083
1,Naive,XRP,0.0494277551831548
3,ACG-DRL,BTC,11422.595952292071
3,ACG-DRL,DOGE,0.015321980307938889
3,ACG-DRL,ETH,149.04914645824613
3,ACG-DRL,LTC,5.554994574202818
3,ACG-DRL,XRP,0.2153023625133469
3,LSTM,BTC,16589.442603916985
3,LSTM,DOGE,0.01878815919027885
3,LSTM,ETH,190.6681927289893
3,LSTM,LTC,5.297917992294121
3,LSTM,XRP,0.2747711437214927
3,SMA,BTC,2828.1042867387678
3,SMA,DOGE,0.016126612653396724
3,SMA,ETH,169.793500880516
3,SMA,LTC,4.99526948507952
3,SMA,XRP,0.10472761374524414
3,Naive,BTC,2400.2887282639654
3,Naive,DOGE,0.013401707952453053
3,Naive,ETH,140.91272507068172
3,Naive,LTC,4.294937153301164
3,Naive,XRP,0.08794983418880695
7,ACG-DRL,BTC,11843.538459776297
7,ACG-DRL,DOGE,0.022224225965193103
7,ACG-DRL,ETH,229.93869275769762
7,ACG-DRL,LTC,7.699498855547036
7,ACG-DRL,XRP,0.23623385997529855
7,LSTM,BTC,21386.73627421694
7,LSTM,DOGE,0.054303170749604106
7,LSTM,ETH,250.32043649302872
7,LSTM,LTC,7.409954076415572
7,LSTM,XRP,0.47283020096512
7,SMA,BTC,3872.588974199165
7,SMA,DOGE,0.023471435131203398
7,SMA,ETH,246.99504363227064
7,SMA,LTC,7.050207630419715
7,SMA,XRP,0.14712610877051022
7,Naive,BTC,3606.2002419588284
7,Naive,DOGE,0.021091879210840724
7,Naive,ETH,225.89417752997937
7,Naive,LTC,6.580988623748482
7,Naive,XRP,0.14112503661019213
