horizon,MAE,RMSE,sMAPE,DA,rounds_used,params,sweep,value
1,0.748398,0.980205,24.647315,0.504744,60,5570,hidden,32
3,0.769964,1.004953,27.324814,0.505905,60,5570,hidden,32
7,0.806729,1.048191,31.180035,0.49904,60,5570,hidden,32
1,0.531845,0.721256,21.411506,0.50778,50,21378,hidden,64
3,0.558205,0.756131,24.106033,0.508952,50,21378,hidden,64
7,0.601281,0.813588,27.541132,0.494818,50,21378,hidden,64
