horizon,tau,pinball
1,0.25,0.1449014031572626
1,0.5,0.1964299583016234
1,0.75,0.1837276684147084
3,0.25,0.20078020991443432
3,0.5,0.2568093497979848
3,0.75,0.23336296765347408
7,0.25,0.3392806225811236
7,0.5,0.5065305610644159
7,0.75,0.5372432456402543
